tenth_percent,twelfth_percent,degree,cgpa,internships,projects,backlogs,communication_skill,extra_curricular,interest,placed,package_lpa
69.55,63.82,B.Sc,6.85,2,2,1,5,1,Core/Mechanical,0,0.0
78.99,64.06,B.Tech,7.55,2,3,0,7,1,Web Development,0,0.0
74.62,73.96,MCA,7.96,0,4,1,7,0,Networking,0,0.0
86.03,85.06,B.Tech,8.89,0,2,1,8,0,Data Science,0,0.0
76.14,88.25,B.Sc,8.89,0,3,0,6,1,Data Science,1,8.11
76.5,81.55,B.Tech,7.41,0,3,0,6,0,Data Science,1,8.06
71.36,63.17,B.Sc,6.28,1,2,1,6,0,Testing,0,0.0
74.43,89.26,B.Sc,7.3,1,3,1,4,1,Machine Learning,0,0.0
78.08,87.85,B.Tech,8.65,0,0,0,6,0,Testing,1,7.39
57.9,62.56,M.Tech,6.65,0,2,0,6,1,Data Science,0,0.0
61.52,59.71,B.Tech,6.43,0,2,0,8,1,Networking,0,0.0
82.43,74.75,B.Sc,9.2,1,4,0,7,1,Core/Mechanical,1,8.15
76.71,73.73,B.Tech,7.52,0,2,0,9,0,Testing,0,0.0
73.16,81.87,B.Tech,8.29,1,2,0,7,0,Networking,1,8.84
75.18,90.26,B.Tech,7.4,0,2,1,5,0,Data Science,0,0.0
78.48,90.83,BCA,8.16,3,2,1,7,1,Core/Mechanical,1,10.33
69.6,65.69,B.Tech,7.32,0,1,0,8,0,Web Development,1,7.66
67.22,58.26,MCA,6.95,0,2,0,3,0,Web Development,0,0.0
76.96,78.09,B.Tech,7.52,2,3,0,5,0,Networking,1,9.85
65.22,51.07,B.Tech,5.76,4,1,0,5,0,Core/Mechanical,0,0.0
79.08,81.67,B.Tech,6.82,0,3,0,7,0,Networking,1,8.09
57.97,56.79,B.Tech,5.45,1,3,0,7,1,Core/Mechanical,0,0.0
85.29,81.56,BCA,9.05,0,1,1,7,0,Core/Mechanical,0,0.0
79.73,66.97,M.Tech,7.8,1,1,1,2,0,Networking,0,0.0
77.56,81.67,BCA,8.36,0,4,0,4,0,Core/Mechanical,0,0.0
84.83,80.57,B.Tech,8.31,0,2,0,6,1,Testing,1,8.34
91.65,82.29,B.Tech,8.7,2,1,0,6,1,Data Science,1,9.76
85.14,62.16,B.Sc,6.84,0,1,0,7,0,Core/Mechanical,0,0.0
56.59,56.37,MCA,6.21,2,0,0,6,1,Testing,0,0.0
62.2,76.38,B.Tech,7.27,1,2,0,9,0,Core/Mechanical,0,0.0
68.75,82.04,BCA,7.93,3,3,0,2,1,Testing,0,0.0
75.26,71.6,B.Tech,6.92,4,2,0,7,0,Networking,1,8.08
80.18,75.36,B.Tech,6.05,0,1,1,8,1,Web Development,0,0.0
67.74,71.49,B.Sc,7.84,2,1,2,8,1,Machine Learning,1,6.85
76.87,68.88,B.Tech,6.9,0,4,2,8,1,Core/Mechanical,0,0.0
67.45,69.86,BCA,6.18,1,1,0,8,0,Machine Learning,0,0.0
68.88,75.01,B.Tech,7.75,1,1,1,5,0,Core/Mechanical,0,0.0
60.93,70.75,BCA,6.27,1,3,1,5,1,Networking,0,0.0
65.77,64.97,B.Tech,7.38,1,1,0,3,0,Networking,0,0.0
61.48,59.85,MCA,6.56,0,1,0,6,1,Testing,0,0.0
65.24,58.22,B.Tech,6.72,2,3,0,5,1,Core/Mechanical,0,0.0
85.54,78.92,M.Tech,7.13,3,2,2,9,1,Networking,0,0.0
65.51,63.7,M.Tech,7.43,2,2,0,6,0,Networking,1,8.2
100.0,100.0,MCA,10.0,0,2,1,5,1,Core/Mechanical,1,10.18
79.93,87.24,B.Sc,8.06,1,2,0,4,1,Testing,0,0.0
76.85,70.42,BCA,7.48,0,3,0,10,1,Testing,1,7.97
66.42,78.36,B.Tech,5.82,0,3,1,6,0,Testing,0,0.0
82.0,79.83,B.Tech,8.42,2,5,0,5,0,Testing,1,9.1
69.24,69.07,B.Tech,6.09,3,1,0,7,0,Web Development,0,0.0
76.22,70.24,B.Tech,6.24,3,3,1,10,0,Core/Mechanical,1,8.28
100.0,80.61,MCA,7.81,1,1,0,6,1,Web Development,1,7.65
74.04,81.11,B.Tech,8.65,1,0,0,8,1,Networking,1,8.78
86.49,92.38,B.Sc,8.44,0,2,1,9,0,Web Development,1,6.47
67.97,65.72,BCA,7.91,2,3,0,3,1,Testing,0,0.0
74.65,75.19,B.Sc,7.06,1,1,0,5,0,Networking,1,8.6
92.71,96.84,BCA,8.11,4,4,0,8,0,Web Development,1,9.21
68.73,56.23,B.Tech,5.35,1,1,0,5,0,Web Development,0,0.0
93.12,88.89,B.Sc,10.0,3,0,0,7,0,Core/Mechanical,1,9.88
82.08,88.43,B.Tech,8.4,1,2,0,5,1,Web Development,1,8.48
69.38,59.35,MCA,6.0,0,0,0,6,0,Networking,0,0.0
81.32,83.67,BCA,8.38,2,4,0,5,1,Testing,1,10.64
84.73,73.88,MCA,8.33,1,1,0,8,0,Core/Mechanical,1,9.99
81.22,84.95,B.Tech,9.2,2,2,2,7,1,Web Development,1,10.35
59.3,59.01,B.Tech,7.07,2,1,1,7,0,Core/Mechanical,0,0.0
67.73,54.81,B.Tech,5.84,2,1,1,10,0,Machine Learning,0,0.0
72.52,81.84,B.Tech,6.66,1,1,1,10,0,Core/Mechanical,0,0.0
74.26,68.38,B.Tech,6.8,3,2,0,3,0,Testing,0,0.0
81.21,74.73,BCA,8.01,2,1,1,6,0,Machine Learning,1,9.09
76.78,78.38,B.Tech,6.99,2,2,0,10,1,Machine Learning,1,8.82
61.65,70.84,B.Sc,5.86,3,3,0,5,1,Core/Mechanical,0,0.0
78.8,70.67,M.Tech,7.75,0,4,1,10,1,Networking,1,8.8
81.11,81.6,BCA,8.1,1,2,0,6,0,Testing,0,0.0
80.6,84.03,B.Tech,8.26,1,2,1,6,0,Networking,1,9.44
85.81,91.35,B.Tech,8.25,0,3,0,8,0,Testing,1,8.4
83.34,84.75,B.Sc,8.22,0,3,1,6,1,Testing,0,0.0
79.59,76.65,B.Tech,7.07,2,2,0,7,1,Networking,1,8.32
74.3,67.68,BCA,7.81,1,3,0,9,1,Data Science,1,8.12
58.39,59.08,B.Tech,6.7,1,1,1,8,1,Machine Learning,0,0.0
79.3,70.72,M.Tech,6.02,2,4,2,7,0,Core/Mechanical,0,0.0
77.08,53.71,BCA,5.8,0,0,1,10,0,Networking,0,0.0
77.72,81.21,BCA,6.75,1,5,0,8,0,Networking,0,0.0
62.23,69.46,B.Tech,6.06,0,2,2,5,0,Core/Mechanical,0,0.0
64.19,45.29,B.Tech,5.41,2,1,0,10,0,Machine Learning,1,6.2
85.53,77.45,BCA,6.99,1,1,0,8,0,Core/Mechanical,1,7.24
74.6,79.55,B.Sc,6.97,0,1,0,6,1,Testing,0,0.0
81.82,98.28,B.Tech,8.2,2,2,0,3,1,Data Science,1,8.51
75.28,75.45,B.Tech,7.7,1,1,0,4,1,Testing,1,6.69
75.3,69.48,B.Tech,7.29,2,4,1,10,1,Data Science,1,8.19
